监测日期,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³)
2019-04-16,监测点A,5.0,56.0,36.0,31.0,103.0,0.8
2019-04-17,监测点A,9.0,63.0,67.0,53.0,206.0,1.1
2019-04-18,监测点A,6.0,37.0,31.0,25.0,83.0,0.6
2019-04-19,监测点A,5.0,50.0,23.0,15.0,71.0,0.6
2019-04-20,监测点A,6.0,68.0,33.0,26.0,32.0,0.7
2019-04-21,监测点A,4.0,53.0,41.0,27.0,35.0,0.7
2019-04-22,监测点A,4.0,32.0,32.0,16.0,64.0,0.6
2019-04-23,监测点A,6.0,27.0,35.0,17.0,65.0,0.5
2019-04-25,监测点A,7.0,23.0,36.0,19.0,79.0,0.7
2019-04-26,监测点A,8.0,32.0,44.0,22.0,67.0,0.7
2019-04-27,监测点A,6.0,48.0,22.0,12.0,56.0,0.7
2019-04-28,监测点A,6.0,42.0,34.0,22.0,78.0,0.7
2019-04-29,监测点A,7.0,34.0,39.0,22.0,80.0,0.6
2019-04-30,监测点A,5.0,33.0,28.0,16.0,109.0,0.7
2019-05-01,监测点A,5.0,29.0,25.0,12.0,81.0,0.9
2019-05-02,监测点A,5.0,33.0,30.0,20.0,46.0,0.9
2019-05-03,监测点A,7.0,40.0,46.0,28.0,132.0,0.7
2019-05-04,监测点A,6.0,64.0,51.0,32.0,60.0,0.7
2019-05-05,监测点A,6.0,52.0,27.0,24.0,32.0,0.7
2019-05-06,监测点A,5.0,47.0,20.0,12.0,27.0,0.7
2019-05-07,监测点A,6.0,51.0,24.0,16.0,41.0,0.7
2019-05-08,监测点A,6.0,51.0,26.0,21.0,20.0,0.8
2019-05-09,监测点A,6.0,45.0,28.0,15.0,62.0,0.8
2019-05-10,监测点A,8.0,51.0,56.0,31.0,98.0,0.9
2019-05-11,监测点A,13.0,47.0,61.0,49.0,206.0,0.9
2019-05-12,监测点A,11.0,34.0,43.0,29.0,126.0,0.7
2019-05-13,监测点A,10.0,38.0,45.0,25.0,99.0,0.7
2019-05-14,监测点A,7.0,27.0,34.0,20.0,96.0,0.6
2019-05-15,监测点A,6.0,25.0,38.0,20.0,54.0,0.7
2019-05-16,监测点A,5.0,21.0,40.0,20.0,84.0,0.7
2019-05-17,监测点A,3.0,16.0,36.0,17.0,81.0,0.7
2019-05-18,监测点A,7.0,14.0,36.0,17.0,100.0,0.6
2019-05-19,监测点A,5.0,12.0,35.0,16.0,100.0,0.6
2019-05-20,监测点A,4.0,25.0,32.0,14.0,118.0,0.7
2019-05-21,监测点A,4.0,40.0,44.0,29.0,80.0,0.8
2019-05-22,监测点A,7.0,30.0,45.0,33.0,128.0,0.8
2019-05-23,监测点A,6.0,43.0,37.0,29.0,54.0,0.9
2019-05-25,监测点A,4.0,28.0,29.0,14.0,48.0,0.6
2019-05-26,监测点A,4.0,23.0,18.0,7.0,71.0,0.6
2019-05-27,监测点A,7.0,30.0,20.0,8.0,78.0,0.6
2019-05-28,监测点A,7.0,42.0,25.0,12.0,87.0,0.6
2019-05-29,监测点A,4.0,46.0,25.0,17.0,41.0,0.6
2019-05-30,监测点A,5.0,40.0,31.0,16.0,67.0,0.5
2019-05-31,监测点A,5.0,49.0,36.0,19.0,72.0,0.6
