,SO2,NO2,PM10,PM2.5,O3,CO
0,4.0,12.0,10.0,6.0,41.0,0.8
1,4.0,10.0,16.0,8.0,72.0,0.7
2,8.0,10.0,39.0,28.0,89.0,0.6
3,8.0,15.0,40.0,29.0,102.0,0.6
4,8.0,17.0,40.0,32.0,111.0,0.6
5,6.0,13.0,36.0,28.0,128.0,0.6
6,5.0,16.0,38.0,25.0,107.0,0.6
7,4.0,9.0,26.0,18.0,102.0,0.7
8,5.0,16.0,37.0,18.0,114.0,0.5
9,5.0,24.0,59.0,37.0,152.0,0.7
10,9.0,20.0,52.0,36.0,159.0,0.7
11,7.0,21.0,46.0,33.0,153.0,0.7
12,7.0,27.0,49.0,36.0,200.0,0.8
13,7.0,34.0,45.0,33.0,195.0,0.8
14,5.0,17.0,39.0,21.0,120.0,0.6
15,5.0,25.0,31.0,17.0,68.0,0.6
16,4.0,36.0,33.0,21.0,28.0,0.9
17,4.0,27.0,28.0,14.0,21.0,0.9
18,6.0,50.0,52.0,29.0,45.0,1.1
19,5.0,57.0,71.0,43.0,85.0,1.2
20,5.0,22.0,23.0,10.0,65.0,1.0
21,6.0,44.0,48.0,23.0,36.0,1.0
22,4.0,44.0,63.0,42.0,6.0,1.3
23,4.0,43.0,57.0,40.0,18.0,1.1
24,4.0,43.0,32.0,21.0,36.0,0.9
25,4.0,32.0,30.0,15.0,36.0,1.2
26,4.0,52.0,52.0,28.0,22.0,1.1
27,5.0,50.0,66.0,42.0,125.0,0.9
28,5.0,28.0,54.0,31.0,111.0,0.8
29,5.0,36.0,45.0,23.0,102.0,0.7
30,6.0,49.0,72.0,48.0,206.0,0.9
31,5.0,46.0,56.0,40.0,136.0,0.9
32,5.0,31.0,56.0,39.0,157.0,0.9
33,5.0,26.0,45.0,28.0,125.0,0.7
34,5.0,29.0,50.0,29.0,111.0,0.7
35,4.0,33.0,50.0,27.0,95.0,0.7
36,4.0,28.0,40.0,25.0,66.0,0.6
37,4.0,25.0,35.0,16.0,77.0,0.6
38,3.0,23.0,33.0,17.0,55.0,0.9
39,3.0,21.0,77.0,29.0,83.0,0.8
40,7.0,57.0,128.0,41.0,40.0,0.9
41,4.0,61.0,94.0,49.0,78.0,1.0
42,7.0,70.0,100.0,56.0,185.0,1.1
43,5.0,25.0,51.0,20.0,120.0,0.6
44,4.0,34.0,56.0,23.0,105.0,0.8
45,6.0,34.0,58.0,28.0,119.0,0.9
46,3.0,19.0,34.0,12.0,56.0,0.7
47,2.0,12.0,30.0,10.0,80.0,0.7
48,1.0,12.0,27.0,9.0,55.0,0.6
49,2.0,12.0,25.0,7.0,51.0,0.6
50,4.0,17.0,29.0,12.0,61.0,0.7
51,7.0,25.0,40.0,18.0,88.0,0.8
52,4.0,25.0,49.0,21.0,47.0,1.0
53,4.0,32.0,52.0,28.0,67.0,1.1
